product_id,product_name,platform,price,product_url
amz_0003,boAt Rockerz 255 Pro+ Bluetooth Neckband,Amazon,1299,https://www.amazon.in/dp/B0BOAT255P
amz_0003,boAt Rockerz 255 Pro+ Bluetooth Neckband,Flipkart,1249,https://www.flipkart.com/boat-rockerz-255-pro/p/itmboat255pro
amz_0003,boAt Rockerz 255 Pro+ Bluetooth Neckband,Croma,1349,https://www.croma.com/boat-rockerz-255-pro/p/244501
amz_0003,boAt Rockerz 255 Pro+ Bluetooth Neckband,Tata CLiQ,1279,https://www.tatacliq.com/boat-rockerz-255-pro/p-mp000000boat255
amz_0003,boAt Rockerz 255 Pro+ Bluetooth Neckband,Reliance Digital,1399,https://www.reliancedigital.in/boat-rockerz-255-pro/p/49300123
amz_0004,Samsung 43 inch Crystal 4K UHD Smart TV,Amazon,32999,https://www.amazon.in/dp/B0SAMS43C4K
amz_0004,Samsung 43 inch Crystal 4K UHD Smart TV,Flipkart,31499,https://www.flipkart.com/samsung-crystal-43/p/itmsamsung43c4k
amz_0004,Samsung 43 inch Crystal 4K UHD Smart TV,Croma,33990,https://www.croma.com/samsung-crystal-43/p/251233
amz_0004,Samsung 43 inch Crystal 4K UHD Smart TV,Reliance Digital,32490,https://www.reliancedigital.in/samsung-crystal-43/p/49301567
amz_0005,Prestige Deluxe Alpha Stainless Steel Pressure Cooker,Amazon,1199,https://www.amazon.in/dp/B0PRESTALPHA
amz_0005,Prestige Deluxe Alpha Stainless Steel Pressure Cooker,Flipkart,1149,https://www.flipkart.com/prestige-deluxe-alpha/p/itmprestalpha
amz_0005,Prestige Deluxe Alpha Stainless Steel Pressure Cooker,Croma,1299,https://www.croma.com/prestige-deluxe-alpha/p/233145
fk_0001,JBL Tune 510BT Wireless On-Ear Headphones,Amazon,2399,https://www.amazon.in/dp/B0JBL510BT
fk_0001,JBL Tune 510BT Wireless On-Ear Headphones,Flipkart,2499,https://www.flipkart.com/jbl-tune-510bt/p/itmjbl510bt
fk_0001,JBL Tune 510BT Wireless On-Ear Headphones,Croma,2599,https://www.croma.com/jbl-tune-510bt/p/219876
amz_0001,Parle-G Original Glucose Biscuits,Amazon,10,https://www.amazon.in/dp/B0PARLEG10
amz_0001,Parle-G Original Glucose Biscuits,Flipkart,12,https://www.flipkart.com/parle-g-glucose/p/itmparleg10
amz_0006,Dove Intense Repair Daily Shampoo,Amazon,299,https://www.amazon.in/dp/B0DOVE340
